commonName,lat,lon,NbDocks,geometry,Cluster
"Rampayne Street, Pimlico",51.489975,-0.132845,21,POINT (699042.1364899756 5708212.677901914),3
"Hyde Park Corner, Hyde Park",51.503117,-0.15352,36,POINT (697550.2588241849 5709617.80216424),0
"Bankside Mix, Bankside",51.505817,-0.100186,60,POINT (701239.1183860234 5710063.355235913),1
"Hop Exchange, The Borough",51.504627,-0.091773,56,POINT (701828.1054024887 5709954.22561128),1
"Milroy Walk, South Bank",51.507244,-0.106237,30,POINT (700812.9990436445 5710205.383663368),1
"Union Street, The Borough",51.503688,-0.098497,17,POINT (701365.6975495903 5709831.297550218),1
"Stamford Street, South Bank",51.505569,-0.111606,27,POINT (700447.8419663649 5710004.430050333),1
"Great Tower Street, Monument",51.510484,-0.082989,24,POINT (702411.6171448953 5710629.683112142),4
"Dorset Square, Marylebone",51.522596,-0.161113,16,POINT (696939.3258867175 5711763.057755013),0
"Leman Street, Aldgate",51.512363,-0.069542,37,POINT (703336.1520216146 5710875.885859975),4
"West Smithfield Rotunda, Farringdon",51.518218,-0.100791,15,POINT (701142.4854662002 5711440.453220594),4
"Margery Street, Clerkenwell",51.526599,-0.112432,19,POINT (700298.2109869017 5712340.321191939),2
"Grosvenor Crescent, Belgravia",51.501352,-0.153194,18,POINT (697580.5167388308 5709422.445313127),0
"Mallory Street, Marylebone",51.525051,-0.166304,20,POINT (696568.7049591888 5712022.047996931),0
"Denyer Street, Knightsbridge",51.493583,-0.165101,30,POINT (696787.7454808357 5708526.578618364),0
"Hinde Street, Marylebone",51.516814,-0.151926,21,POINT (697601.5645267196 5711144.97576975),0
"Cadogan Place, Knightsbridge",51.494645,-0.158105,34,POINT (697268.7046581212 5708663.492817283),0
"Wellington Arch, Hyde Park",51.50274,-0.149569,36,POINT (697826.0470843634 5709586.562289312),0
"Endsleigh Gardens, Euston",51.526838,-0.130504,32,POINT (699043.828334721 5712317.554971556),2
"Moorfields, Moorgate",51.519069,-0.088285,54,POINT (702006.1965511078 5711569.533593395),4
"Wormwood Street, Liverpool Street",51.516154,-0.082422,16,POINT (702425.8049719272 5711261.649177447),4
"Chelsea Green, Chelsea",51.490664,-0.166485,15,POINT (696704.2608722919 5708198.315158906),0
"Knightsbridge, Hyde Park",51.502757,-0.155349,43,POINT (697424.9033214339 5709572.839350017),0
"Rodney Road , Walworth",51.491484,-0.09022,24,POINT (701993.9872298744 5708497.258144854),1
"Charles II Street, West End",51.508446,-0.131961,24,POINT (699022.9759300154 5710268.726043618),3
"Great Percy Street, Clerkenwell",51.528915,-0.11548,23,POINT (700076.6667236653 5712589.475706226),2
"St. James's Square, St. James's",51.507424,-0.134621,40,POINT (698842.8755815497 5710147.864497575),3
"Whitehall Place, Strand",51.506543,-0.123179,46,POINT (699640.5955244343 5710081.0753674535),3
"Poured Lines, Bankside",51.506692,-0.103137,31,POINT (701030.5133750299 5710152.525584832),1
"Carey Street, Holborn",51.51501,-0.112753,16,POINT (700326.8209982925 5711050.954953334),2
"Kennington Road, Vauxhall",51.495718,-0.110889,36,POINT (700540.8492146147 5708911.14507304),1
"Fashion Street, Whitechapel",51.51838,-0.073438,30,POINT (703039.1018201876 5711534.038994044),4
"Warren Street Station, Euston",51.524438,-0.138019,26,POINT (698533.0887587536 5712030.291326325),2
"Colombo Street, Southwark",51.505459,-0.105692,14,POINT (700858.6653365103 5710008.4207729325),1
"Beaumont Street, Marylebone",51.522008,-0.151359,23,POINT (697618.4016948504 5711723.990769424),0
"Gloucester Street, Pimlico",51.490962,-0.139625,25,POINT (698567.2562924501 5708303.993988025),3
"Earnshaw Street , Covent Garden",51.516118,-0.128585,18,POINT (699223.7150822477 5711130.905426807),2
"Berry Street, Clerkenwell",51.522853,-0.099994,41,POINT (701177.3332471119 5711957.972055708),4
"St. John's Wood Church, The Regent's Park",51.530529,-0.167515,50,POINT (696461.1229211341 5712627.855651676),0
"Triangle Car Park, Hyde Park",51.506451,-0.170279,27,POINT (696373.0306084738 5709943.366742465),0
"Harper Road, The Borough",51.498597,-0.096191,42,POINT (701548.1743269765 5709271.623394633),1
"Royal Avenue 1, Chelsea",51.489932,-0.162727,10,POINT (696968.2518235156 5708127.038331327),0
"Brushfield Street, Liverpool Street",51.518908,-0.079249,34,POINT (702633.6802803889 5711576.627826137),4
"Chadwell Street, Angel",51.530515,-0.106408,18,POINT (700698.7602220923 5712792.2246193625),2
"Houghton Street, Strand",51.51362,-0.116764,15,POINT (700054.6700387071 5710885.434993641),2
"Westminster University, Marylebone",51.522481,-0.154907,16,POINT (697370.2663804777 5711767.000095913),0
"Bourne Street, Belgravia",51.490959,-0.153233,16,POINT (697622.7766833804 5708266.820844916),0
"LSBU (Borough Road), Elephant & Castle",51.498744,-0.103132,35,POINT (701065.8570929484 5709268.869235024),1
"St. Mary Axe, Aldgate",51.514225,-0.08066,21,POINT (702556.592537762 5711052.058492201),4
"Tysoe Street, Clerkenwell",51.526443,-0.109256,20,POINT (700519.160004088 5712331.67972695),2
"Southwick Street, Paddington",51.515953,-0.169249,17,POINT (696403.6077343179 5711002.592936154),0
"Regency Street, Westminster",51.49206,-0.132224,22,POINT (699076.1522235565 5708446.181571564),3
"Belgrave Road, Victoria",51.493204,-0.144132,29,POINT (698244.7078195581 5708541.043619122),3
"Empire Square, The Borough",51.500823,-0.08974,46,POINT (701985.9937061057 5709536.903162603),1
"Baylis Road, Waterloo",51.501444,-0.110699,22,POINT (700528.8896517177 5709548.29140042),1
"Belvedere Road 1, South Bank",51.506133,-0.114686,38,POINT (700231.6641706203 5710058.702000133),1
"Barbican Centre, Barbican",51.520044,-0.092176,19,POINT (701731.9923194681 5711667.196516773),4
"Lower Thames Street, Monument",51.509301,-0.084985,24,POINT (702278.383671973 5710492.634741691),4
"Tooley Street, Bermondsey",51.503493,-0.07962,27,POINT (702676.3816705614 5709861.744373421),4
"Royal Avenue 2, Chelsea",51.490083,-0.162418,10,POINT (696989.0480384491 5708144.658691603),0
"Smith Square, Westminster",51.495805,-0.127575,18,POINT (699382.4685252494 5708875.216264577),3
"Kingsway, Covent Garden",51.514409,-0.118478,16,POINT (699932.309677859 5710968.471359404),2
"Lambeth North Station, Waterloo",51.49914,-0.112031,20,POINT (700446.5746796948 5709288.478944284),1
