Station,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill,Borough,lat,long
Bermondsey,16503.0,12706.0,8848.0,16121.0,12536.0,9373.0,1311.95,Southwark,51.49813,-0.0635
Bethnal Green,23869.0,20599.0,15643.0,22390.0,19079.0,14976.0,1981.12,Tower Hamlets,51.52718,-0.05504
Blackfriars,26446.0,10303.0,8112.0,24991.0,8295.0,6211.0,1577.4,City of London,51.5114403,-0.1041905
Blackhorse Road,14573.0,10207.0,7512.0,13631.0,9194.0,6984.0,1084.66,Waltham Forest,51.58698,-0.04104
Bond Street,61234.0,46690.0,28468.0,60124.0,45840.0,27253.0,4714.21,City of Westminster,51.51461,-0.14897
Borough,9525.0,5779.0,3955.0,9318.0,6268.0,4140.0,689.18,Southwark,51.50095,-0.09446
Boston Manor,3893.0,2378.0,1724.0,3414.0,2094.0,1744.0,269.15,Ealing,51.495371,-0.325573
Bounds Green,10509.0,7995.0,5470.0,9196.0,6878.0,5232.0,785.45,Haringey,51.607,-0.12418
Bow Road,9077.0,6612.0,4787.0,8487.0,5852.0,4801.0,687.94,Tower Hamlets,51.52709,-0.02482
Brent Cross,4080.0,2728.0,2290.0,3791.0,2499.0,2144.0,304.63,Barnet,51.57693,-0.21414
Brixton,51028.0,40770.0,28965.0,48822.0,40211.0,28135.0,4090.92,Lambeth,51.46239,-0.115421
Bromley-by-Bow,6307.0,3719.0,2438.0,5937.0,3317.0,2428.0,432.15,Tower Hamlets,51.52466,-0.01282
Bayswater,6946.0,6916.0,6033.0,6309.0,6409.0,5286.0,629.22,City of Westminster,51.51224,-0.187569
East Ham,23269.0,17213.0,12184.0,22485.0,15768.0,11628.0,1784.91,Newham,51.53931,0.0526
East Putney,10103.0,6648.0,4301.0,9678.0,6019.0,4512.0,729.09,Wandsworth,51.459015,-0.211138
Eastcote,5129.0,2931.0,1654.0,4848.0,2636.0,1638.0,341.29,Hillingdon,51.57676,-0.39629
Heathrow Terminal 4,3253.0,3419.0,3494.0,2885.0,3391.0,2989.0,316.27,Hillingdon,51.4594777,-0.44689658
Heathrow Terminal 5,6659.0,6383.0,7743.0,5700.0,5191.0,5919.0,614.41,Hillingdon,51.4715,0.488
Hendon Central,13207.0,7560.0,5685.0,12181.0,6560.0,5278.0,900.52,Barnet,51.58346,-0.22653
High Barnet,7311.0,4031.0,2518.0,6820.0,3525.0,2497.0,482.96,Barnet,51.6506519031751,-0.194138165994553
High Street Kensington,20170.0,14260.0,10213.0,19963.0,13917.0,9172.0,1534.99,Kensington and Chelsea,51.5003459144,-0.192351664
Highbury & Islington,31198.0,24555.0,15276.0,30890.0,23441.0,16720.0,2463.31,Islington,51.54502,-0.10752
Highgate,9839.0,6257.0,4118.0,8948.0,5772.0,4272.0,692.9,Haringey,51.57722,-0.14553
Hillingdon,3193.0,2169.0,1112.0,2686.0,1687.0,1007.0,212.63,Hillingdon,51.55364,-0.45062
Holborn,51101.0,28823.0,17598.0,56804.0,31315.0,18187.0,3679.69,Camden,51.51711,-0.12055
Holland Park,6091.0,3888.0,2601.0,5447.0,3879.0,2663.0,432.38,Kensington and Chelsea,51.50722,-0.20553
Holloway Road,10836.0,7498.0,5453.0,10473.0,6944.0,5466.0,814.97,Islington,51.5529,-0.11278
Hornchurch,3723.0,2269.0,1042.0,3705.0,2299.0,1061.0,255.73,Havering,51.55387,0.21797
Hounslow Central,6080.0,4252.0,3022.0,6423.0,4073.0,2929.0,469.91,Hounslow,51.47129,-0.365853
Hatton Cross,5026.0,3758.0,3016.0,4737.0,3613.0,2987.0,397.05,Hillingdon,51.466988,-0.423035
Hounslow East,5988.0,4804.0,3609.0,6305.0,4905.0,3678.0,502.17,Hounslow,51.47354,-0.356
Hyde Park Corner,7515.0,7654.0,6368.0,8292.0,7400.0,6454.0,727.13,City of Westminster,51.50313,-0.15278
Ickenham,1912.0,1170.0,621.0,1958.0,1146.0,654.0,134.48,Hillingdon,51.56147,-0.44257
Kennington,8942.0,6777.0,4709.0,8177.0,6390.0,4843.0,687.97,Southwark,51.48823,-0.10587
Kensal Green,4578.0,3147.0,2139.0,3891.0,2664.0,2092.0,324.32,Brent,51.53060655,-0.224253545
Kentish Town,13857.0,8998.0,6164.0,12940.0,8053.0,5434.0,983.17,Camden,51.53060655,-0.14067
Kenton,3327.0,2130.0,1415.0,3331.0,2096.0,1391.0,242.66,Brent,51.58173809,-0.316870809
Kew Gardens,6662.0,5484.0,4385.0,6497.0,5058.0,4007.0,548.45,Richmond,51.58173809,-0.316870809
Kilburn,13475.0,10578.0,7920.0,12733.0,9837.0,7841.0,1071.31,Brent,51.5471715,-0.205002
Kilburn Park,5153.0,4424.0,3149.0,4948.0,4116.0,3070.0,424.8,Brent,51.53495818,-0.193963023
Kingsbury,8439.0,5685.0,4019.0,8092.0,5386.0,3853.0,622.92,Brent,51.58422,-0.2788
Knightsbridge,25026.0,28003.0,19735.0,23810.0,25435.0,15400.0,2304.19,Kensington and Chelsea,51.50169,-0.1603
Ladbroke Grove,9327.0,9009.0,4625.0,8878.0,7205.0,3950.0,747.49,Kensington and Chelsea,51.5173,-0.21114
Hounslow West,5414.0,4253.0,3387.0,5191.0,4160.0,3406.0,440.58,Hounslow,51.4715,-0.386471
Lancaster Gate,9568.0,7851.0,6492.0,9120.0,7473.0,5692.0,787.61,City of Westminster,51.512083,-0.175067
Harrow-on-the-Hill,16908.0,11329.0,7711.0,18067.0,11531.0,7995.0,1294.99,Harrow,51.579335,-0.337052
Harlesden,5321.0,3066.0,2039.0,5172.0,2903.0,1995.0,367.48,Brent,51.53628278,-0.257622488
Edgware,8705.0,5546.0,4220.0,8014.0,5309.0,4051.0,628.82,Barnet,51.61385,-0.27515
Elephant & Castle,37290.0,23949.0,17597.0,32954.0,21378.0,15851.0,2625.42,Southwark,51.49467,-0.10047
Elm Park,5724.0,3184.0,1801.0,5138.0,2896.0,1787.0,372.04,Havering,51.54969,0.19779
Embankment,34869.0,28002.0,17980.0,33686.0,25955.0,15578.0,2717.9,City of Westminster,51.50717,-0.12195
Epping,6224.0,4582.0,2658.0,6449.0,4216.0,2584.0,472.23,Epping Forest,51.69365,0.11495
Euston,65497.0,52450.0,43900.0,64044.0,51259.0,39268.0,5402.32,Camden,51.52774,-0.13303
Euston Square,24492.0,8086.0,6749.0,24727.0,8805.0,6752.0,1487.43,Camden,51.52584,-0.1357
Fairlop,2081.0,1394.0,856.0,1878.0,1298.0,821.0,147.32,Redbridge,51.59634,0.09125
Farringdon,36844.0,7931.0,4687.0,37094.0,9088.0,4550.0,1972.77,Islington,51.520362948,-0.105126482
Finchley Central,12024.0,7238.0,4118.0,11680.0,6401.0,4266.0,823.78,Barnet,51.60102,-0.1924
Finchley Road,15534.0,11037.0,7909.0,14715.0,9443.0,7514.0,1157.14,Camden,51.546701,-0.179867
Finsbury Park,52158.0,41968.0,25405.0,45233.0,30510.0,22325.0,3811.76,Islington,51.56498,-0.10543
Harrow & Wealdstone,8496.0,4650.0,3093.0,7332.0,4465.0,2929.0,555.83,Harrow,51.59205973,-0.334725352
Fulham Broadway,15310.0,12139.0,6951.0,15025.0,10125.0,6572.0,1162.5,Hammersmith and Fulham,51.48033,-0.19488
Gloucester Road,21724.0,16396.0,13126.0,20559.0,15425.0,12030.0,1708.97,Kensington and Chelsea,51.49408266,-0.17295341
Golders Green,13364.0,9191.0,7249.0,12928.0,8432.0,7027.0,1012.83,Barnet,51.57249,-0.1941
Goldhawk Road,3519.0,2330.0,1476.0,3313.0,2122.0,1576.0,253.07,Hammersmith and Fulham,51.501248,-0.226776
Goodge Street,12987.0,6054.0,3560.0,12624.0,6194.0,3352.0,825.35,Camden,51.5206,-0.13441
Grange Hill,1213.0,572.0,278.0,1085.0,488.0,281.0,72.86,Redbridge,51.61326,0.09258
Great Portland Street,14519.0,5020.0,3281.0,13985.0,4835.0,2775.0,842.37,City of Westminster,51.52391,-0.14397
Green Park,58814.0,35126.0,25470.0,67897.0,42800.0,29244.0,4577.43,City of Westminster,51.50674,-0.14276
Greenford,7635.0,4982.0,3143.0,7453.0,4611.0,3040.0,548.48,Ealing,51.542346,-0.345903
Gunnersbury,10367.0,4110.0,2691.0,9408.0,3557.0,2454.0,609.26,Hounslow,51.49126844,-0.275554312
Hainault,6373.0,3865.0,2438.0,6002.0,3553.0,2430.0,440.66,Redbridge,51.60288,0.09332
Hammersmith,47068.0,31449.0,22271.0,45894.0,30229.0,21442.0,3486.31,Hammersmith and Fulham,52.217339,-0.222825
Hampstead,7192.0,5531.0,4827.0,7223.0,5740.0,5349.0,606.94,Camden,51.55645,-0.17851
Hanger Lane,6547.0,3994.0,2691.0,6086.0,3537.0,2478.0,452.09,Ealing,51.53,-0.2929
Gants Hill,11215.0,7326.0,4905.0,10582.0,6971.0,4806.0,808.53,Redbridge,51.57649,0.06637
Woodside Park,5311.0,2997.0,2246.0,6089.0,3760.0,2967.0,411.16,Barnet,51.6181717295887,-0.185578887883903
